param windPowerS: 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 :=
1	500.1860347	597.637254	491.0745598	475.6382793	499.0973206	572.2097448	434.99052	409.6916598	603.6339641	525.9551075	464.9030208	523.1864271	572.9674154	479.2209615	579.5941845	553.6264204	515.5571725	503.1949793	489.1906661	467.2532976	370.783287	550.1417952	455.0717818	549.0594847	533.9802868	539.6634041	476.1243302	588.910471	439.7754728	513.0726507
2	542.0779817	622.9927243	529.9258716	576.4676241	580.7916892	644.5712867	591.3976064	620.2439434	549.4690759	498.5796962	472.3821363	579.7923464	638.8814686	459.999175	651.045466	663.9139034	437.8551536	593.9765411	553.6553492	631.308058	435.3490149	591.4837201	509.6649784	511.8253095	525.9260794	515.3172205	535.8486622	644.7092802	501.3579848	526.0367376
3	563.6289501	475.2152086	590.9545673	659.5170047	517.0366013	603.0247036	543.8364054	636.7389266	431.8598052	631.6061921	616.2471466	508.1857841	464.4592929	618.2711977	487.5882845	456.6516093	638.5442813	682.4388146	485.5113589	660.8591109	668.779367	502.1755238	610.2944518	553.0195494	586.1596762	589.9320464	517.4565364	508.8362747	629.1810887	554.4712659
4	577.2298675	640.687792	527.0158936	503.4260032	534.3780902	537.0687311	508.6275041	539.5310873	455.3793781	510.9037641	678.3767909	518.9227175	670.3221382	649.9856311	530.8079085	651.8925136	529.8529997	718.1155825	573.2116107	649.7737239	509.9566543	549.1829538	575.7675591	565.1142769	545.1946581	608.9635922	546.3329584	513.4852305	612.4257912	614.1477364
5	590.1095821	622.2537345	533.4840033	521.8066325	507.3240675	580.1403419	517.9114353	696.0658822	454.0692363	683.9964261	626.3628019	635.5489662	618.697641	542.6339024	748.4837051	647.9953338	545.5596753	446.2684797	671.5047332	585.3340143	641.8929744	571.1547548	548.7648244	645.3386862	639.6904996	555.0759409	576.9458793	712.7238186	431.0108259	628.9634424
6	621.401631	632.0332861	670.0935702	453.6893236	612.1657794	602.3800412	613.2255949	683.783451	708.8410303	646.2717557	636.9631443	555.5068605	738.1971893	627.6010294	750.6915894	512.664033	528.2699459	564.6896368	560.466198	724.4162288	794.2063538	567.8029926	648.7754147	562.4823155	598.2217993	647.5915852	640.5537844	511.4502484	800.0296161	624.8427211
7	641.6549439	708.8187761	617.9093292	753.2660572	588.5902903	663.1438436	571.9464394	511.317562	717.8662699	575.9400433	650.4418313	691.2681663	543.6620104	569.5346265	679.8670353	425.0299451	644.3189618	582.3273952	676.5639524	614.2454563	610.405017	547.1476976	601.0229528	626.4204367	665.3732948	701.7736467	674.9677584	664.7406922	636.8286506	600.2987733
8	656.4337411	666.5310136	707.731769	530.0885608	602.6606035	668.4394594	711.1428429	794.8127909	506.6539661	715.3282514	586.0634526	614.3669956	661.5055458	685.5567608	638.2437726	810.4992415	721.2903988	722.3771003	691.5454385	724.5162276	739.5901607	724.7706802	702.0597607	661.6178419	700.672714	620.0964939	594.8287754	772.9384069	507.2019937	606.1756051
9	623.3236493	667.2157883	680.5879187	683.6019338	662.4109407	493.3407463	655.0628285	464.3904215	681.3757477	710.7420408	524.7249985	544.035068	668.8357448	590.2055166	530.9235011	544.9155312	602.8674027	754.0166439	619.0179904	516.4236423	564.6338228	602.0600141	643.0862971	570.7609157	606.9816403	566.6546792	629.7930013	487.6879664	777.241743	623.1860743
10	605.6625892	550.7976061	583.6525215	739.6282929	527.6869004	617.8254109	662.6395311	582.3198574	460.8928541	567.1194665	639.5194244	618.6554144	555.5205645	588.466285	664.8933807	620.8596407	581.3440307	759.6328346	576.8850682	631.1162149	704.6078334	678.0383934	572.5158964	652.003059	599.5264492	593.9760909	644.3129178	529.9344483	536.0062717	646.75975
